bundle	pathid	name	width	height	format	mips	streamed	bytes
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	6926687667629682341	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	-5917494760195438996	6x9 MCB	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	6926687667629682341	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	-4295526639059445137	Pouch_Ferro_GP_6x9_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	-2388171385252728675	6x9 OD	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	6926687667629682341	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	8223849673445040095	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 6	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	-6528655167617834116	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 5	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	-4678053438790453756	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 4	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	8858722838746922307	Pouch_ADA_IFAK_V_Coyote_BaseColor	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	6216320700640474161	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 3	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	-9148306294791598446	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 2	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	-1517244710589380721	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap 1	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	4521330484316320446	Pouch_ADA_IFAK_V_OCP_BaseColor	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	741634692668421397	Pouch_ADA_IFAK_V_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	6315809546613334262	gunfighter_MI_Pouch_ADA_IFAK_V_OCP_BaseMap	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	8173302219260181134	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	1042472639090868990	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	2283734199305643712	Admin AOR1	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	-2077013957339281449	Admin AOR2	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	1042472639090868990	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	-3981322020090170384	Admin AOR2	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	1597934244077240019	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	1597934244077240019	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	1679969404540351611	Admin BLK	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	1042472639090868990	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	5864303996937574808	Admin BLK	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	-6054922207156362729	Admin GRAY	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	1597934244077240019	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	1042472639090868990	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	3883709986605216701	Admin GRAY	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	-7051095314278868560	Admin M81	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	1042472639090868990	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	-2746111197405457355	Admin M81	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	1597934244077240019	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	447198880586717870	Admin MCB	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	1597934244077240019	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	1042472639090868990	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	3812058486741679010	Admin MCB	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	1597934244077240019	MaskMap	512	512	DXT5	10	1	349552
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	3319745744462394518	Admin OD	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	4379899283716539440	Pouch_Ferro_Admin_OCP_OpenGL_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	-3597623003472821423	Pouch_Agilite_Admin_2ndLayer_OCP_DirectX_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	1042472639090868990	MaskMap	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	5505659754049311608	Admin ODG	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_amarurgtsdf_ea6620344e0ffbe8f7819da4e8f09b30.bundle	-4709754405735645347	amarurgt SDF Atlas	1024	1024	Alpha8	1	1	1048576
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	-3741265917195219010	abdominalPro_Normal	512	512	BC7	10	1	349552
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	505659681344016140	abdominalPro_BaseColor	512	512	DXT1	10	1	174776
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	7639368554896251302	AmbdominalPro_sdr_MaskMap_AutodeskToHDRP	512	512	BC7	10	1	349552
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	-3741265917195219010	abdominalPro_Normal	512	512	BC7	10	1	349552
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	6359560112324292784	abdominalPro_Black_BaseColor	512	512	DXT1	10	1	174776
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	7639368554896251302	AmbdominalPro_sdr_MaskMap_AutodeskToHDRP	512	512	BC7	10	1	349552
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	-1922937933038719466	JPC_V2_ANPRC152_sdr_BaseMap 3	1024	1024	DXT1	11	1	699064
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	8452620050968363949	ANPRC152_Black_BaseColor	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	6203285747014794855	ANPRC152_Coyote_BaseColor	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	-3508297949532540407	SKM_JPC_RIFLEMAN_V1_ANPRC_Pouch_ANPRC152_M81_BaseColor_2_BaseMap	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	-3101556416624164256	ANPRC152_MC_BaseColor	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	5293544626631529495	JPC_V2_ANPRC152_sdr_BaseMap 1	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	2118777906736250522	JPC_V2_ANPRC152_sdr_BaseMap	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	-1181339864325498732	ANPRC152_Normal	2048	2048	BC7	12	1	5592432
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	1282470086148855013	ANPRC152_BaseColor	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	3766504333145176632	ANPRC152_sdr_MaskMap_AutodeskToHDRP	2048	2048	BC7	12	1	5592432
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	-3936558795657509458	LitMask	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	-140159629252651909	ANPRC152_Normal	2048	2048	DXT5	12	1	5592432
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	6135131429532671551	ANPRC152_TigerStripe_BaseColor	2048	2048	DXT1	12	1	2796216
charactermodmaterials_assets_aor1_31904cebd0285c9b38b81b9d866070a4.bundle	1456324327485166873	Holster_Safariland_63540DO_OCP_DirectX_Normal	1024	1024	DXT5	11	1	1398128
charactermodmaterials_assets_aor1_31904cebd0285c9b38b81b9d866070a4.bundle	4550835416119103210	HolsterMaskMap	1024	1024	DXT5	11	1	1398128
