bundle	size	kind	count
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	3876273	Shader	2
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	3876273	AssetBundle	1
charactermodmaterials_assets_6x5m81_cfb79d063b24e7119ab4227bea29fe2a.bundle	3876273	Material	1
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	3677847	Texture2D	3
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	3677847	Material	1
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	3677847	Shader	2
charactermodmaterials_assets_6x5mcb_97378a7c8bdeea98ed8e5be94e849163.bundle	3677847	AssetBundle	1
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	3768092	Texture2D	3
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	3768092	Shader	2
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	3768092	Material	1
charactermodmaterials_assets_6x5od_5d3ec40c039efa0148a22799c35d6202.bundle	3768092	AssetBundle	1
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	3611320	Texture2D	3
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	3611320	Shader	2
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	3611320	AssetBundle	1
charactermodmaterials_assets_6x9aor2_b15638ede20361529d26c054579eff7a.bundle	3611320	Material	1
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	3424258	Texture2D	3
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	3424258	Shader	2
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	3424258	AssetBundle	1
charactermodmaterials_assets_6x9blk_a40f2eb65d9dd39deb139c232dbb2642.bundle	3424258	Material	1
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	3438664	Texture2D	3
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	3438664	Material	1
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	3438664	Shader	2
charactermodmaterials_assets_6x9gray_d47dbe18b1ad0cc67d23087e6914f9c2.bundle	3438664	AssetBundle	1
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	3536830	Texture2D	3
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	3536830	Shader	2
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	3536830	AssetBundle	1
charactermodmaterials_assets_6x9m81_96d4ccfaeb7d44ab0cc25075981dccda.bundle	3536830	Material	1
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	3382260	Texture2D	3
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	3382260	Shader	2
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	3382260	Material	1
charactermodmaterials_assets_6x9mcb_a55d9e3fec20bf7b9544565a64d0acc5.bundle	3382260	AssetBundle	1
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	3459913	Texture2D	3
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	3459913	Shader	2
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	3459913	AssetBundle	1
charactermodmaterials_assets_6x9od_2ea5d73cad122413059ec519ecb08062.bundle	3459913	Material	1
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	8351009	Material	1
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	8351009	Shader	2
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	8351009	AssetBundle	1
charactermodmaterials_assets_adaifakaor1_72058ce2bd4b431e8b6662894c76f268.bundle	8351009	Texture2D	3
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	8413288	Material	1
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	8413288	Texture2D	3
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	8413288	Shader	2
charactermodmaterials_assets_adaifakaor2_04741c917cdb2f885e46f6afad755c18.bundle	8413288	AssetBundle	1
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	8207345	Texture2D	3
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	8207345	Shader	2
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	8207345	Material	1
charactermodmaterials_assets_adaifakblk_4fc81b3051eee373d52271a5e0073eb1.bundle	8207345	AssetBundle	1
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	8281407	Material	1
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	8281407	Shader	2
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	8281407	AssetBundle	1
charactermodmaterials_assets_adaifakcoyote_40b9dcf8d971476a3cd68ebb576fa585.bundle	8281407	Texture2D	3
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	8243914	Shader	2
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	8243914	AssetBundle	1
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	8243914	Texture2D	3
charactermodmaterials_assets_adaifakgray_c676acd3e5aead8c66c8e3ac3a2357a4.bundle	8243914	Material	1
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	8343644	Texture2D	3
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	8343644	Shader	2
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	8343644	Material	1
charactermodmaterials_assets_adaifakm81_c42747adc35a9d9f57aa7cfddde1f037.bundle	8343644	AssetBundle	1
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	8111382	Shader	2
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	8111382	Texture2D	3
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	8111382	Material	1
charactermodmaterials_assets_adaifakmcb_38a256f0939c467dc83f882bfe29238c.bundle	8111382	AssetBundle	1
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	8335199	Material	1
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	8335199	Shader	2
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	8335199	AssetBundle	1
charactermodmaterials_assets_adaifakocp_2393f887b47c2d0b1c54af4def1e6ea3.bundle	8335199	Texture2D	3
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	8229197	Shader	2
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	8229197	AssetBundle	1
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	8229197	Texture2D	3
charactermodmaterials_assets_adaifakod_073af66c54a32652768c4ea2c0cfae75.bundle	8229197	Material	1
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	10286714	Material	1
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	10286714	Shader	2
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	10286714	Texture2D	3
charactermodmaterials_assets_adminaor1_96f70a3fd0783b86d2f0c672a3e688e0.bundle	10286714	AssetBundle	1
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	10193252	Material	1
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	10193252	Shader	2
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	10193252	Texture2D	3
charactermodmaterials_assets_adminaor21_48df626c5598818de7cdb2ceef3a4cd4.bundle	10193252	AssetBundle	1
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	3676957	Texture2D	3
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	3676957	Shader	2
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	3676957	AssetBundle	1
charactermodmaterials_assets_adminaor2_bc47a3941c359e8493e3aa71713d3cb9.bundle	3676957	Material	1
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	3505082	Material	1
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	3505082	Shader	2
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	3505082	AssetBundle	1
charactermodmaterials_assets_adminblk1_4f8059b25efac4bc5becd85c25011bc1.bundle	3505082	Texture2D	3
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	10057116	Shader	2
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	10057116	Texture2D	3
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	10057116	AssetBundle	1
charactermodmaterials_assets_adminblk_054c8820f544fb528c13c339908058f5.bundle	10057116	Material	1
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	3512778	Texture2D	3
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	3512778	Shader	2
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	3512778	AssetBundle	1
charactermodmaterials_assets_admingray1_3dca9c6c375c3b4620ebc0d676bf275f.bundle	3512778	Material	1
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	10082409	Shader	2
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	10082409	Texture2D	3
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	10082409	Material	1
charactermodmaterials_assets_admingray_a040fe51569b4ec74b296fda1f131b7f.bundle	10082409	AssetBundle	1
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	10156502	Material	1
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	10156502	Texture2D	3
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	10156502	Shader	2
charactermodmaterials_assets_adminm811_73d93c3a9331f825cdd5291148ebe606.bundle	10156502	AssetBundle	1
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	3636794	Shader	2
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	3636794	Texture2D	3
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	3636794	AssetBundle	1
charactermodmaterials_assets_adminm81_91fd75d3bf0013c04892bf604b3f0995.bundle	3636794	Material	1
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	3513809	Shader	2
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	3513809	AssetBundle	1
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	3513809	Texture2D	3
charactermodmaterials_assets_adminmcb1_3ef4221f3518c818ceec7df621e2931d.bundle	3513809	Material	1
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	10102820	Shader	2
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	10102820	Texture2D	3
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	10102820	AssetBundle	1
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	10102820	Material	1
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	3510043	Shader	2
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	3510043	Material	1
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	3510043	AssetBundle	1
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	3510043	Texture2D	3
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	10141800	Shader	2
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	10141800	Texture2D	3
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	10141800	AssetBundle	1
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	10141800	Material	1
charactermodmaterials_assets_amarurgtsdf_ea6620344e0ffbe8f7819da4e8f09b30.bundle	223442	Texture2D	1
charactermodmaterials_assets_amarurgtsdf_ea6620344e0ffbe8f7819da4e8f09b30.bundle	223442	AssetBundle	1
charactermodmaterials_assets_amarurgtsdf_ea6620344e0ffbe8f7819da4e8f09b30.bundle	223442	Shader	2
charactermodmaterials_assets_amarurgtsdf_ea6620344e0ffbe8f7819da4e8f09b30.bundle	223442	MonoBehaviour	1
charactermodmaterials_assets_amarurgtsdf_ea6620344e0ffbe8f7819da4e8f09b30.bundle	223442	Material	1
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	648195	Shader	3
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	648195	Texture2D	3
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	648195	Material	1
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	648195	AssetBundle	1
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	635401	Shader	3
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	635401	Material	1
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	635401	Texture2D	3
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	635401	AssetBundle	1
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	5410790	Shader	3
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	5410790	Texture2D	3
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	5410790	Material	1
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	5410790	AssetBundle	1
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	7005427	Shader	3
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	7005427	Texture2D	3
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	7005427	AssetBundle	1
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	7005427	Material	1
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	7056005	Shader	3
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	7056005	Texture2D	3
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	7056005	AssetBundle	1
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	7056005	Material	1
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	6233824	Shader	3
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	6233824	Texture2D	3
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	6233824	AssetBundle	1
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	6233824	Material	1
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	7171331	Shader	3
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	7171331	Texture2D	3
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	7171331	AssetBundle	1
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	7171331	Material	1
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	6329329	Shader	3
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	6329329	Material	1
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	6329329	Texture2D	3
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	6329329	AssetBundle	1
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	6437347	Shader	3
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	6437347	Material	1
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	6437347	Texture2D	3
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	6437347	AssetBundle	1
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	4931862	Material	1
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	4931862	Shader	3
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	4931862	Texture2D	3
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	4931862	AssetBundle	1
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	7124730	Shader	3
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	7124730	Texture2D	3
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	7124730	AssetBundle	1
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	7124730	Material	1
charactermodmaterials_assets_aor1_31904cebd0285c9b38b81b9d866070a4.bundle	3667193	Material	1
charactermodmaterials_assets_aor1_31904cebd0285c9b38b81b9d866070a4.bundle	3667193	Shader	2
charactermodmaterials_assets_aor1_31904cebd0285c9b38b81b9d866070a4.bundle	3667193	AssetBundle	1
charactermodmaterials_assets_aor1_31904cebd0285c9b38b81b9d866070a4.bundle	3667193	Texture2D	3
charactermodmaterials_assets_aor2_3cbac428b66275fb5744b68f87179b2e.bundle	3720446	Texture2D	3
charactermodmaterials_assets_aor2_3cbac428b66275fb5744b68f87179b2e.bundle	3720446	Shader	2
charactermodmaterials_assets_aor2_3cbac428b66275fb5744b68f87179b2e.bundle	3720446	Material	1
charactermodmaterials_assets_aor2_3cbac428b66275fb5744b68f87179b2e.bundle	3720446	AssetBundle	1
charactermodmaterials_assets_apamazing_9768553a6e6fce8fd5d8d96a21960831.bundle	2372303	Shader	3
charactermodmaterials_assets_apamazing_9768553a6e6fce8fd5d8d96a21960831.bundle	2372303	Texture2D	2
charactermodmaterials_assets_apamazing_9768553a6e6fce8fd5d8d96a21960831.bundle	2372303	AssetBundle	1
charactermodmaterials_assets_apamazing_9768553a6e6fce8fd5d8d96a21960831.bundle	2372303	Material	1
charactermodmaterials_assets_aviators_932eaf66c8e0862be8f2e09eaaf5955a.bundle	2726427	Shader	3
charactermodmaterials_assets_aviators_932eaf66c8e0862be8f2e09eaaf5955a.bundle	2726427	Material	1
charactermodmaterials_assets_aviators_932eaf66c8e0862be8f2e09eaaf5955a.bundle	2726427	Texture2D	3
charactermodmaterials_assets_aviators_932eaf66c8e0862be8f2e09eaaf5955a.bundle	2726427	AssetBundle	1
charactermodmaterials_assets_backpanel_aor1_d2680827da3c39ccff661eef8a6e4b80.bundle	6199596	Shader	3
charactermodmaterials_assets_backpanel_aor1_d2680827da3c39ccff661eef8a6e4b80.bundle	6199596	Texture2D	3
charactermodmaterials_assets_backpanel_aor1_d2680827da3c39ccff661eef8a6e4b80.bundle	6199596	AssetBundle	1
charactermodmaterials_assets_backpanel_aor1_d2680827da3c39ccff661eef8a6e4b80.bundle	6199596	Material	1
charactermodmaterials_assets_backpanel_coyote_basecolor_05dc9736152a5564f09f7307da470193.bundle	6404739	Shader	3
charactermodmaterials_assets_backpanel_coyote_basecolor_05dc9736152a5564f09f7307da470193.bundle	6404739	Texture2D	3
charactermodmaterials_assets_backpanel_coyote_basecolor_05dc9736152a5564f09f7307da470193.bundle	6404739	Material	1
charactermodmaterials_assets_backpanel_coyote_basecolor_05dc9736152a5564f09f7307da470193.bundle	6404739	AssetBundle	1
charactermodmaterials_assets_backpanel_m81_basecolor1_3ce5f1786e3cc2316004ee3e8bf4c2d3.bundle	5504249	Shader	3
charactermodmaterials_assets_backpanel_m81_basecolor1_3ce5f1786e3cc2316004ee3e8bf4c2d3.bundle	5504249	Texture2D	3
charactermodmaterials_assets_backpanel_m81_basecolor1_3ce5f1786e3cc2316004ee3e8bf4c2d3.bundle	5504249	Material	1
charactermodmaterials_assets_backpanel_m81_basecolor1_3ce5f1786e3cc2316004ee3e8bf4c2d3.bundle	5504249	AssetBundle	1
charactermodmaterials_assets_backpanel_mc_basecolor_fdd7b2176293925ac15f7e136deb53b3.bundle	6572232	Shader	3
charactermodmaterials_assets_backpanel_mc_basecolor_fdd7b2176293925ac15f7e136deb53b3.bundle	6572232	Texture2D	3
charactermodmaterials_assets_backpanel_mc_basecolor_fdd7b2176293925ac15f7e136deb53b3.bundle	6572232	Material	1
