bundle	pathid	name	shader_pathid	shader_name
charactermodmaterials_assets_adminmcb_8240c8036a2887676e14dd7dbfc53c0e.bundle	8841985812843219820	Admin MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminod_df5c8ec0d8eb9626a942094fab80ff8a.bundle	-2481120675030374747	Admin OD	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_adminodg_693406dc3a5b7878c80acde4703ca7a8.bundle	2735594156579060500	Admin ODG	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_amarurgtsdf_ea6620344e0ffbe8f7819da4e8f09b30.bundle	5606963531988647773	amarurgt SDF Material	683148379888368288	TextMeshPro/Distance Field
charactermodmaterials_assets_ambdominalpro_sdr1_cee3047e44e620d323a1bf2fb37ad796.bundle	-3206335585667162706	AmbdominalPro_sdr 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_ambdominalpro_sdr_a19c797c5cc8ba9ac1f7c0270be8968d.bundle	-4502473912279469368	AmbdominalPro_sdr	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_aor1_dacb9db194b593dae39108499cc0d344.bundle	-1853935025766723476	ANPRC152_AOR1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_black_basecolor_b767b8f0223957ba92c6c2bf802909f5.bundle	196340085559268245	ANPRC152_Black_BaseColor	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_coyote_basecolor_6ae9516eef65345bcfce21a7119745ba.bundle	1179399195740900614	ANPRC152_Coyote_BaseColor	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_m81_basecolor2_693f823f16808b6c75db7eabb763ca19.bundle	176117157644424173	ANPRC152_M81_BaseColor 2	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_mc_basecolor_277873f591a22f21b0ad57fa876283c2.bundle	3232921424297830313	ANPRC152_MC_BaseColor	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_mcb_basecolor1_1d9c8dc277465990458019bcac9c81f1.bundle	-4186450352406059973	ANPRC152_MCB_BaseColor 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_rgreen_basecolor1_e5705493e1b0dacdf4fbcea635785a62.bundle	-6946586109515277938	ANPRC152_RGreen_BaseColor 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_sdr_904db952d0d4bf167ab0ebcc8a84b349.bundle	-8853028705923137564	ANPRC152_sdr	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_anprc152_tigerstripe_basecolor1_0ba1579fce82e749e3cb60e3f3946ab6.bundle	2675598046371249925	ANPRC152_Tigerstripe_BaseColor 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_aor1_31904cebd0285c9b38b81b9d866070a4.bundle	-6154352699328190294	AOR1	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_aor2_3cbac428b66275fb5744b68f87179b2e.bundle	-2950545384618045480	AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_apamazing_9768553a6e6fce8fd5d8d96a21960831.bundle	5987506015616057128	APAmazing	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_aviators_932eaf66c8e0862be8f2e09eaaf5955a.bundle	-4206946204304918732	aviators	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_aor1_d2680827da3c39ccff661eef8a6e4b80.bundle	622120560413475570	BackPanel_AOR1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_coyote_basecolor_05dc9736152a5564f09f7307da470193.bundle	-2687229188397414819	BackPanel_Coyote_BaseColor	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_m81_basecolor1_3ce5f1786e3cc2316004ee3e8bf4c2d3.bundle	-4691040478279418346	BackPanel_M81_BaseColor 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_mc_basecolor_fdd7b2176293925ac15f7e136deb53b3.bundle	-5143692886223923017	BackPanel_MC_BaseColor	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_rgreen_basecolor_3916784ee8468d7403e5a819bfa2cea3.bundle	4104527393938014050	BackPanel_RGreen_BaseColor	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_spiritus_black_basecolor_944b335c1613f5696ae0ec02c0c793f7.bundle	-6438883868350782411	BackPanel_Spiritus_Black_BaseColor	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_spiritus_mcb_basecolor1_23cde644f072d673eec30b65cd18f248.bundle	-2179581184666839371	BackPanel_Spiritus_MCB_BaseColor 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_backpanel_tigerstripe_basecolor1_0fcd324b8feac81724c1392488f8fad8.bundle	4138648772929482663	BackPanel_Tigerstripe_BaseColor 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bandana_9ff71c059d4e48cde06836513e1cfbcc.bundle	-5866536270743971922	bandana	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bangerpocketaor2_1bebbee2bf22dae31375566688e45852.bundle	-4614807854632082732	BangerPocket AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_bangerpocketblk_45f99bdbebe3ad13db3d6b99ea742cb3.bundle	7706004787960520142	BangerPocket BLK	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bangerpocketgray_9e3208d0e80a8ab22526ffd07565cf18.bundle	-740195187554522742	BangerPocket GRAY	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bangerpocketm81_ec2d0b46cc27a477f0739bc169d0b079.bundle	-22453677471380701	BangerPocket M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_bangerpocketmcb_1b62cecee02423622fde9afce2c0470d.bundle	5892167307430615558	BangerPocket MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_bangerpocketod_f7cb00f644c37586d83629766d364eaa.bundle	-3903807458993000593	BangerPocket OD	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beanieblack_58e81610c639d09c3243e8d53d51a99d.bundle	3815920472471481870	beanie black	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_beaniegray_0350ccd8f72eef16e69c110564e57cf8.bundle	-4131640719512385665	beanie gray	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_beaniemulticam_8df8899d68ddb66597e2d1bfad835898.bundle	1506000163679631441	beanie multicam	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_beanierg_52668add65d7e22e6b483a34dd93350e.bundle	-2049237644872994378	beanie RG	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_beanietan_93eb0336054cddf2c7589c64d2d5119d.bundle	2281048056956361162	beanie tan	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_beaniewhite_7914fcff7db1db2255532af45b473da9.bundle	-7484735234568985835	beanie white	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_beard1_0d51178b74997f7db79cfe983026c0cd.bundle	9175243153537864865	Beard1	-8603950788525925452	HDRP/Hair
charactermodmaterials_assets_beard2_bdbca88e95728e115b47d8917317e2ea.bundle	-4110459795611414909	Beard2	-8603950788525925452	HDRP/Hair
charactermodmaterials_assets_beard3_ec5a24ce53e3a48d9f3bfd7cd3b6968f.bundle	3628652699781437747	Beard3	-8603950788525925452	HDRP/Hair
charactermodmaterials_assets_belt_tyr_gunfighter_mab_coyote_30cd6ccbb7e6210b66a52f4c857147fe.bundle	3734298708506522058	Belt_TYR_Gunfighter_MAB_Coyote	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beltaor1_8728c36a1f6bca5a8841e0a6e0accbab.bundle	1393563678761822137	Belt AOR1	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beltaor2_da056a5cbe702880b0dc59f5990f0f74.bundle	-3226081369192230764	Belt AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beltblk_a25a9699be400eee12edbf60a9344e9a.bundle	-1078101386903044933	Belt BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beltgray_38bfd0f0137fa4bf27de97784795ead4.bundle	-7232427843805712729	Belt GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beltm81_38204e34e2361a3bac457c25e0a71250.bundle	-8820560354037746913	Belt M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beltmcb_b72825838345d510bba7c8d54fcfa36c.bundle	6034971315556299792	Belt MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_beltodgreen_01771c6545401f8f2f79afded7ba84d2.bundle	-933721407991657314	Belt OD Green	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_bigmamashouse_7174d572b09fc62bbd8724005004ff31.bundle	-6955779511805705208	bigmamashouse	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_blackbeard_e2357fd81de283186094427d097d8964.bundle	-2293820186791612459	blackbeard	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_blk_4669ec79138da4bf5bd42ee16595af54.bundle	1330896226061604032	BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_blkgray_0439ccb3d09e2f981ac04cc89a15603c.bundle	-4776247155989821503	BLK GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_blkmcb_1e82bf11db414f657e71afa582a69845.bundle	2224234459429330439	BLK MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_blkodgreen_60970a0f75415abbb8a5b4f3dc2bc94e.bundle	-6184049139636254182	BLK OD GREEN	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_blkstrap_aeb7b4dd3306aadef2e80e2327987d94.bundle	-2821475502815312884	BLK Strap	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_blue_9f253200ad03b4a1cfa927437d20cf00.bundle	-4147676228478395179	Blue	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_body1_7e6d7075749441f36a9bc473ad42b8c3.bundle	8885178664665830889	body	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_body2_8d07c83562e24e17ad7a5a3d97d67e62.bundle	-9200551146764632626	body	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_body_d9b25e530f284833c636697345f8c41f.bundle	-5446904761549200916	body	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_boonieblk_76e54a5cf8867b9686866571acf790d3.bundle	7012621896407416406	Boonie BLK	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_booniecoyote1_23e7baa58864b34edfe276bd6a883b4e.bundle	-1416423195235621753	Boonie TIGSTRIPE	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_booniecoyote_f7362295ba6c5b9e4ad2f7faa20bddb3.bundle	6844519124650962046	Boonie Coyote	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_booniem811_243fb03f87143c02d57953e2d420aa3d.bundle	4529904539378663900	Boonie MC	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_booniem812_000369548fd73bfe7af77a0a9847d2c6.bundle	-698431090756635255	Boonie OD GRN	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_booniem81_5d4846d4312cb22c50bc490669b8aa52.bundle	-3369501359436398190	Boonie M81	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bottlepouch_bc7cacbfc5ed04198214efc9c6b17ac4.bundle	8137790545532313580	Bottlepouch	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bottlepouchblk_0be90425a7f70a8e66586f46be27e710.bundle	-5490212589790611202	Bottlepouch BLK	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bottlepouchcoyote_319d8d363c2e3d4f3dcddf60ed7adb35.bundle	-7876727901802659634	Bottlepouch Coyote	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bottlepouchodgreen_4b15312d743e12a7930a98cca7952f10.bundle	5855791586322783484	Bottlepouch OD Green	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_br_knive_blk_6f92be9b30fee98cadab19fbca5913c7.bundle	4190284010376433540	BR_Knive_blk	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_br_knive_sdr_04117339786d2627329bf62cc2f52309.bundle	-511690093552669063	BR_Knive_sdr	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bracelet1_3a58180c3f9f2b6780607bcdb7b8812f.bundle	-4816506251740660246	bracelet	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bracelet2_9d7ddeeda9b840e4d11e3db19e69d81a.bundle	6528988868589369942	bracelet	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bracelet3_5d944b58a30c425a1139651bfc63cd8b.bundle	1907623209553342916	bracelet	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_bracelet_f7b5babc60b56759c3fe0d644bf14d9e.bundle	-1308561369295107491	bracelet	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_brown_dc2b56d91b68a46ff6ea37d76d55f3b9.bundle	1450783571384529657	Brown	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_comntacts_sdr_820001334ce02b5d5ab2223d2c426ce6.bundle	-1632685264611727539	comntacts_sdr	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_comtac_4_headset_ebe2b6b45788bca201baef5cacc35b9e.bundle	-6646405367686708095	Comtac_4_Headset	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_comtac_6fitted_1867f63cdbc509334c57af529917441e.bundle	-969221447701173266	MI_Comtac_6	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_cryeg3aor1_febfbdbdb7cd2469d4b6bdb4dcb30c4a.bundle	-7330785795433784649	crye g3 aor 1	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor2_49bf69479a88c7d8d2c09ac23cc50e7d.bundle	-406618974071212200	crye g3 aor 2	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor31_a4fe23b56d912e479333ea696e64c83b.bundle	-6061854403930797272	crye g3 aor 3	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor3_c6ed113499090e2e60c549e13ca9ca7a.bundle	-2382981664697360625	crye g3 aor 3	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor41_f71bf182747849f681fb16e7062d9479.bundle	-773824081113358384	crye g3 aor 4	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor4_12eb899a71e742bdaec8b43c3b161602.bundle	4105313965798473295	crye g3 aor 4	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor5_d896aac96072fe8a35cc3246e54b9dd9.bundle	-1710377044851682738	crye g3 aor 5	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor6_459aa245bb8a058f39a4867a983cc8b2.bundle	8437995252761897734	crye g3 aor 6	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor7_25d29103ce7ccaf84b3d8d5df6f1b849.bundle	3053185803921431743	crye g3 aor 7	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3aor8_fb6800830034b71d57bcf94d4b8d6065.bundle	7978829044850489531	crye g3 aor 8	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3cutaor4_f0e9b8696699775e2daba26948571304.bundle	-5832374002174496190	crye g3 cut aor 4	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3cutaor5_114aec66442bc1d3262e35572aab7c11.bundle	7998222051915301803	crye g3 cut aor 5	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3cutaor6_e6f325b53e0f312541caa797d60b53cb.bundle	-3395821891090350691	crye g3 cut aor 6	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3cutaor7_43b6c86b6225e25da5867081c32b8453.bundle	4042452462379544446	crye g3 cut aor 7	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3cutaor8_079dcf44321ecb950430add6eafdf71d.bundle	6936930245621534443	crye g3 cut aor 8	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3cutmcb_1f8e2074c3d66662eff57f081c415c3c.bundle	7667341275909962596	crye g3 cut MCB	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3mc_bcf2a76b52eb6b9fc120a3f7d0e289d6.bundle	246604635489351453	crye g3 MC	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_cryeg3mcb_1db09d327101b257e9ec626a7c757d8f.bundle	-8485284461529940021	crye g3 MCB	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_dangleraor2_ef544f72f880795aa6bd6e824350172f.bundle	-210383810036077190	Dangler AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_danglerblk_3399d613167f658c4c5807359c33beb5.bundle	-1384921385921457859	Dangler BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_danglergray_27a36840b942525ee241e2481c20c14f.bundle	-8560346216024379259	Dangler GRAY	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_danglerm81_6e423c1d3837fc3c8249eee492b17fec.bundle	6054000971994141115	Dangler M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_danglermcb_9dbe2e9a14c843cb4a72d420e37f172b.bundle	-3916320695596861621	Dangler MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_danglerod_c71a9951c14b64315156d01269abec61.bundle	-4398729348271682527	Dangler OD	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_delta_de4fb9491fd759a47aec308b989fb9cb.bundle	-5908882541027861068	MI_Miscellaneous_01.001	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_delta_de4fb9491fd759a47aec308b989fb9cb.bundle	7818194667560623540	glowstick	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_delta_de4fb9491fd759a47aec308b989fb9cb.bundle	9014620370367929780	MI_Bakcpack_Delta	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_docminty_46286534812f4ea55e1dc1291adb5231.bundle	-2667757762405252714	docminty	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_dope_9f825a70e496dc164aac3cd50cb8bec3.bundle	1325451219839100347	dope	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_eyepro_gatorz1_bb8781dcd0a443cf3e823f7d6147cf23.bundle	8584683188757441173	Eyepro_Gatorz 1	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_eyepro_gatorz2_0d20375eb2c995c782870cc5ec9a3cf7.bundle	-9058570668127994618	Eyepro_Gatorz 2	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_eyepro_gatorz_2bbde92cff6bb6c3736a3499f9143494.bundle	348610611869265580	Eyepro_Gatorz	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_eyepro_gatorzblue_5aeb2f633d94b46bd53e748d9d8af281.bundle	5520270888554576897	Eyepro_Gatorz Blue	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_eyepro_gatorzred_71ebd998cedcaa600a9d97a534894c0b.bundle	-3596540732391065802	Eyepro_Gatorz Red	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_eyepro_gatorzyellow_91cdaeec56a68bd6ecd8120af6e18bda.bundle	4781783274005406394	Eyepro_Gatorz Yellow	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_face1_c05c01645f89f62c22ab5d92dcada74b.bundle	-4070372683878858146	face	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_face2_70892ee781d5d1f785c95af9eeff5526.bundle	-4353788067344081891	face	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_face_646cbb6ddfadbab4a9d2a1d1e6d4c9b1.bundle	-4627613599454752475	face	7322088784485553867	HDRP/Lit
charactermodmaterials_assets_fde_3c211c4a2052258cbe1ebf25ce20126e.bundle	-7088954448836805997	FDE	6692683703723378954	Shader Graphs/ClothWind
charactermodmaterials_assets_fragaor1_601e8a398b537393344c5d7ba2bdb97f.bundle	2099482731210678519	Frag AOR1	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_fragaor2_1bcb2fa41bd4a9aa7b42190bf1d44b3b.bundle	-6853203230945252689	Frag AOR2	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_fragblk_8805e502dc892a7ca4d0f3e4817cf16c.bundle	-350128813297530084	Frag BLK	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_fraggray_3e77ed583fbc4c7afc46ddb59d6da3c9.bundle	-6317224711429649774	Frag Gray	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_fragm81_91cc76b9d9a8a381a8a1efacf33abfdb.bundle	-5707912699987458610	Frag M81	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_fragmcb_8c341df6f5c5aa2e47da695a5a3f8f27.bundle	1428699115220114511	Frag MCB	-3661740934848837633	MilkShaders/Lit-Template
charactermodmaterials_assets_fragodgreen_6f190e1feb6b62641b085425f65083b9.bundle	-5998861210175440031	Frag OD Green	-3661740934848837633	MilkShaders/Lit-Template
